fdc_id,protein_g,fat_g,carbs_g,energy_kcal,fiber_g,food_name,dry_mass_g,energy_density,protein_ratio,fat_ratio,carbs_ratio,protein_category
167581,9.7,34.0,53.0,512.0,9.7,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",106.4,4.767225325884543,0.09031657355679701,0.3165735567970205,0.4934823091247672,Low Protein
167582,5.4,21.6,64.8,475.0,2.0,"Candies, NESTLE, BABY RUTH Bar",93.8,5.010548523206751,0.0569620253164557,0.2278481012658228,0.6835443037974683,Low Protein
167583,2.56,2.32,79.16,348.0,0.0,"Candies, TWIZZLERS Strawberry Twists Candy",84.03999999999999,4.092191909689558,0.03010348071495767,0.027281279397930385,0.9308560677328317,Low Protein
167584,0.0,0.09,72.43,291.0,0.0,"Syrups, table blends, pancake, with butter",72.52000000000001,3.958106637649619,0.0,0.001224156692056583,0.9851741022850925,Low Protein
167585,5.0,7.19,25.7,187.0,0.8,"Ice creams, chocolate, light",38.69,4.71151423532376,0.12597631645250693,0.181153943058705,0.6475182665658856,Low Protein
167586,7.5,27.5,60.4,519.0,2.5,"Candies, NESTLE, CHUNKY Bar",97.9,5.247724974721941,0.07583417593528817,0.2780586450960566,0.6107178968655207,Low Protein
167587,7.65,29.66,59.4,535.0,3.4,"Candies, milk chocolate",100.11000000000001,5.291266936999307,0.07566017208980318,0.29334388289981206,0.5874789832855305,Low Protein
167588,2.76,1.7,19.74,105.0,0.0,"Puddings, banana, dry mix, instant, prepared with 2% milk",24.2,4.166666666666667,0.10952380952380952,0.06746031746031746,0.7833333333333333,Low Protein
167589,2.9,1.73,18.43,101.0,0.0,"Puddings, banana, dry mix, regular, prepared with 2% milk",23.06,4.197838736492104,0.12053200332502079,0.07190357439733999,0.7660016625103907,Low Protein
167590,5.65,8.2,40.24,257.0,2.9,"Andrea's, Gluten Free Soft Dinner Roll",56.99,4.431798585963097,0.09743059148128988,0.14140369029142955,0.6939127435764787,Low Protein
167591,10.91,15.92,67.18,456.0,7.5,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",101.51,4.4483465027802165,0.10642864110818456,0.15530192176373037,0.6553506974929275,Low Protein
167592,2.19,17.89,76.03,474.0,2.5,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",98.61,4.758558377672925,0.021985744403172372,0.1796004417227186,0.7632767794398153,Low Protein
167593,2.19,18.79,77.34,487.0,0.0,"Glutino, Gluten Free Cookies, Vanilla Creme",98.32000000000001,4.903342730567861,0.0220499395892066,0.18918646798227948,0.7786951268626661,Low Protein
167594,9.42,18.42,65.81,467.0,2.4,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",96.05000000000001,4.811952601751674,0.09706336939721792,0.18979907264296753,0.6781040700669757,Low Protein
167595,11.16,17.29,64.7,459.0,3.5,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",96.65,4.700460829493087,0.11428571428571428,0.17706093189964156,0.6625704045058883,Low Protein
167596,9.67,18.93,65.11,469.0,3.5,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",97.21000000000001,4.775481111903065,0.09846247836269219,0.1927502291009062,0.662967111292129,Low Protein
167597,3.13,10.7,52.83,320.0,3.5,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",70.16,4.4969083754918495,0.04398538504777965,0.1503653738055087,0.7424114671163575,Low Protein
167598,5.4,8.02,51.15,298.0,5.5,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",70.07,4.193049106514704,0.075981426762347,0.1128464893766709,0.7197129590544534,Low Protein
167599,7.25,9.34,49.09,309.0,4.9,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",70.58000000000001,4.316848281642916,0.10128527521654092,0.13048337524448167,0.6858060910868957,Low Protein
167600,11.8,11.6,44.29,329.0,11.2,"Udi's, Gluten Free, Whole Grain Dinner Rolls",78.89,4.118162473400926,0.14770309175115784,0.14519964951808736,0.554387282513456,Low Protein
167601,3.31,4.55,40.32,215.0,1.5,"Van's, Gluten Free, Totally Original Pancakes",49.68,4.2423046566692975,0.06531176006314128,0.08977900552486187,0.7955801104972375,Low Protein
167602,15.34,1.39,46.24,259.0,36.7,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",99.67,2.572762491308235,0.1523790602960167,0.013807489818217939,0.45932253898877523,Medium Protein
167603,1.86,0.17,5.62,31.0,4.5,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",12.15,2.3574144486692012,0.1414448669201521,0.012927756653992395,0.42737642585551333,Low Protein
